Price,Close,High,Low,Open,Volume
Ticker,LIN,LIN,LIN,LIN,LIN
Date,,,,,
2018-01-02,137.2723388671875,137.41296295696117,134.74115889386684,136.01553285714377,1067600
2018-01-03,138.4236297607422,138.59061914234763,136.82406137972953,137.13167481012349,1427900
2018-01-04,140.59446716308594,141.7985287499285,139.62769357541464,140.08471503600904,1896800
2018-01-05,141.82492065429688,142.67743568387772,141.11302970211392,142.17648084779162,1699500
2018-01-08,141.77220153808594,142.07101766893445,141.02516121096468,141.596428132331,936700
2018-01-09,143.15203857421875,144.56703650256102,142.34347024525889,142.67743566572372,3366400
2018-01-10,142.92349243164062,143.40687921903194,141.9391509086965,142.99380445622913,2416800
2018-01-11,143.96937561035156,145.96443758831256,143.52993547313145,144.23304237481338,2007100
2018-01-12,144.2682342529297,145.120749443532,143.4772471368041,144.18913822344769,2644400
2018-01-16,142.4665069580078,145.21739327361146,140.8142076450315,144.57581438723963,2754100
2018-01-17,143.6617889404297,144.33851715910774,141.9040282278426,143.7408849539401,1751900
2018-01-18,141.93922424316406,144.58465015818868,141.85133081435546,143.23996384347421,1746700
2018-01-19,142.27316284179688,142.6862377009022,141.75461321589512,142.55439759506933,1678800
2018-01-22,141.16574096679688,142.11493324273425,140.27807674525417,142.0006879298772,1523400
2018-01-23,139.94412231445312,141.3327549555073,139.31132735370312,140.32204785993054,1775300
2018-01-24,141.3854522705078,142.41374048641467,139.72436924317404,139.82984398551017,3701100
2018-01-25,143.5651092529297,146.72907043824605,142.20284204048178,146.12264085646507,3391800
2018-01-26,145.6217041015625,146.10509103184125,142.53682513510708,143.86394319920439,1870000
2018-01-29,143.10812377929688,146.00843232128787,141.24490127588652,145.19106642360578,2982800
2018-01-30,141.2537078857422,143.2048241223864,141.2009771891824,142.99388792549192,2007700
2018-01-31,141.93038940429688,142.66864566338188,140.65600219651614,141.87764531951976,3570500
2018-02-01,140.4714813232422,141.411876547625,139.68048077392496,140.48026530099514,1520800
2018-02-02,136.27041625976562,138.2918439740053,136.18252285063076,137.73814499988862,2086200
2018-02-05,132.11325073242188,137.84353879366446,131.85836801726094,135.36510411663576,2593900
2018-02-06,136.49891662597656,137.44810909401082,130.09188423005912,131.96389041558547,3718100
2018-02-07,131.8408660888672,136.03313005498705,131.83208211122815,135.83977526170503,2248000
2018-02-08,126.62029266357422,132.37694796395277,126.60271130239731,131.7265851175493,2054300
2018-02-09,131.37503051757812,132.38575096304112,127.17398353167418,127.69251971786007,3116200
2018-02-12,135.1278533935547,136.20887246572116,132.27149226491045,132.5966737019943,3099700
2018-02-13,135.1981658935547,135.74306741932315,133.66012528055668,134.2313921439817,1402800
2018-02-14,136.28794860839844,137.31623675433082,133.5897801640278,133.8095001971923,1622000
2018-02-15,136.92955017089844,137.3777742854222,134.57414404928724,137.3426249749424,1634200
2018-02-16,135.00485229492188,136.34075458953726,134.64450802291148,135.8310022217149,1589400
2018-02-20,134.9960174560547,135.57606825341844,133.2734061927395,133.80952370426957,2590500
2018-02-21,134.24020385742188,136.87684518967777,134.24020385742188,134.8817828266218,1834100
2018-02-22,135.05758666992188,136.19135020826187,134.5917810024347,135.233360116221,1627100
2018-02-23,136.77139282226562,136.87686761207704,134.07323639046564,135.62006139761345,1593400
2018-02-26,136.9559326171875,137.08775931126775,135.04876378247425,136.61316980192845,1018600
2018-02-27,135.34756469726562,136.50769311749653,134.95207124878652,136.13855159422383,1239400
2018-02-28,131.61233520507812,135.7870169561574,131.53323919045582,135.47940346287044,1541700
2018-03-01,130.0039520263672,131.90233639590267,128.83503980097672,131.1377149459427,1918000
2018-03-02,131.3311309814453,131.81451802802923,128.88784381215356,129.40639359520975,1420600
2018-03-05,134.24020385742188,134.83783612228726,130.52252992327215,130.786196738628,1852900
2018-03-06,135.77333068847656,136.67466087324573,134.11207157326044,135.25197845241087,1470000
2018-03-07,137.05465698242188,137.6732117074684,134.5892562792969,134.80133796366218,1821700
2018-03-08,139.5111846923828,139.6967443311412,137.35506852361553,137.62016720532083,2190900
2018-03-09,141.46405029296875,141.54357585209658,138.86610749362777,139.5730328139928,1340300
2018-03-12,142.36538696289062,144.45080933799161,141.4905653218023,143.72620714332618,1787800
2018-03-13,141.71153259277344,143.14306068522038,140.56279362599304,143.045858243656,1678500
2018-03-14,139.21075439453125,142.48028284800958,139.1577373464824,142.21518412428415,1611600
2018-03-15,137.5582733154297,139.99715096164374,137.45223926056522,139.25488561064066,1491600
2018-03-16,136.36537170410156,137.2666882825232,135.33148556880232,136.6569654019286,2276000
2018-03-19,132.17686462402344,134.5892344013059,131.26670278723057,132.77774240682746,2058400
2018-03-20,132.74240112304688,133.55536054910348,132.4331170715834,133.0605168535455,837700
2018-03-21,134.05906677246094,135.0929396596339,132.53918180580976,133.07821093332538,826700
2018-03-22,129.0928955078125,133.14002886822715,128.92499923887183,132.60099986538097,1351300
2018-03-23,125.96475219726562,130.38301770061778,125.60245118995644,129.76446322684373,1232100
2018-03-26,129.110595703125,129.4198797790668,126.9544793017079,128.1297399134141,1068200
2018-03-27,127.34325408935547,130.02955369261937,126.49494114525925,129.17240907120637,856500
2018-03-28,125.62019348144531,127.9707151899967,124.91326793587184,127.64375420362254,1236200
2018-03-29,127.51117706298828,128.44784742696396,123.9412100913123,124.29467951020477,1461000
2018-04-02,125.56713104248047,128.00600913558858,124.25048285825834,127.26374364857462,2028000
2018-04-03,126.92797088623047,127.45816830729841,124.94858246218809,125.45227136055068,1079000
2018-04-04,128.14739990234375,128.39482173716394,123.71145674924672,124.7011440885275,1132800
2018-04-05,129.6407470703125,130.6304341881822,128.42130152616897,129.01334746157144,988100
2018-04-06,126.5214614868164,129.4728734871769,125.77919601852467,128.47434103450092,1188600
2018-04-09,127.20191955566406,128.9603948875378,126.1945550976592,127.29029029970127,1231700
2018-04-10,129.6230926513672,130.9485724778108,128.20924210976943,129.14591236309977,1089400
2018-04-11,127.7762222290039,128.7217238760629,127.33439575308546,128.34175957884057,890700
2018-04-12,129.82632446289062,130.48906435235892,127.94413886208787,128.4920130061464,1001200
2018-04-13,129.4817352294922,130.5686251663883,128.84550368509414,130.20633750974375,716500
2018-04-16,133.60838317871094,133.60838317871094,129.90587350271687,130.78069516904912,2211500
2018-04-17,136.8955841064453,137.10766577804216,133.17541081611543,134.27113241066345,2268500
2018-04-18,135.4198455810547,136.91322156569964,135.234272486354,136.79834234119556,971000
2018-04-19,133.92648315429688,135.0664033868344,132.919118998101,135.0664033868344,839000
2018-04-20,133.1488494873047,133.7497406376321,132.23868782614906,133.66136992969433,974700
2018-04-23,132.8661346435547,133.1930821086926,131.743890975174,132.1415323350545,865900
2018-04-24,129.70263671875,133.643736564661,128.04136411776332,133.1400476866461,1221000
2018-04-25,132.3270721435547,135.34916459385752,131.2931994750415,134.70410150669528,2062400
2018-04-26,137.84107971191406,138.45078914771187,132.61868560204127,133.82045459965784,3037100
2018-04-27,135.40220642089844,138.0443349353761,134.1209116902984,137.84993010910787,1734000
2018-04-30,134.77479553222656,135.9500559558866,134.27110671488154,135.9500559558866,1411300
2018-05-01,135.46405029296875,135.5347441732674,133.48466209504383,134.35948369482563,985100
2018-05-02,133.64373779296875,136.1002930325275,133.24608299783694,135.98541378206897,1591800
2018-05-03,135.05755615234375,136.27700192188513,132.95447063814413,133.71441295368064,1537900
2018-05-04,136.5862579345703,137.1517953452604,133.72321720849672,133.97947065937447,1066500
2018-05-07,137.19598388671875,138.7777305837108,136.65695492324036,137.71734949521414,897100
2018-05-08,136.0825653076172,136.96621832909523,135.48168772508015,136.4802064705873,1041200
2018-05-09,137.4169464111328,138.10619503978398,135.4110627402161,136.94861115021553,1365000
2018-05-10,138.77772521972656,139.60836131004461,137.74385268714238,137.93825745225837,1250200
2018-05-11,139.2902374267578,140.4920061386045,138.3093819819162,138.67166949236298,1166100
2018-05-14,140.0148468017578,140.3064539756886,139.0781765673922,139.83811885850582,1150300
2018-05-15,140.12974548339844,140.19159420455668,138.8484508626218,139.55536273375398,1344600
2018-05-16,140.50088500976562,141.21664207793023,139.7321108970674,140.02371812548265,1273400
2018-05-17,141.2608184814453,141.53474884981145,140.07672628371068,140.50970777558769,1520500
2018-05-18,140.9780731201172,141.70267546045582,140.62461711435543,140.73949638379506,1882500
2018-05-21,141.7998504638672,142.49793065947347,141.38453232149442,141.87054434804548,746800
2018-05-22,140.68646240234375,142.87791903802773,140.56275146686514,142.02077416954006,1044300
2018-05-23,140.20924377441406,140.4743424162644,138.82191533951143,139.84694274666788,1375900
2018-05-24,139.1753692626953,140.73943909264005,138.51262940906344,140.65990006276184,1282400
2018-05-25,138.79544067382812,139.1312197841515,137.4522837820936,138.6186992138386,1094600
2018-05-29,135.47288513183594,138.33592667506065,135.41986809124498,137.77922078189712,1318000
2018-05-30,138.2828826904297,138.43310210399395,136.1532754184462,136.49789959861758,1223300
2018-05-31,138.07965087890625,138.86610172573333,137.37273907138228,138.5656628591878,2504700
2018-06-01,139.44046020507812,140.08552318497175,138.38891087132794,139.263732283892,1025200
2018-06-04,139.20188903808594,140.4301664601656,138.972144057628,140.05903373012836,641200
2018-06-05,140.95155334472656,141.5877848911069,140.235796225919,140.38601569055308,1179300
2018-06-06,144.13587951660156,144.3668189134439,140.20093730237264,141.23130732565727,1555000
2018-06-07,141.91529846191406,143.24766963297478,141.45340599427718,142.91013126582698,1227000
2018-06-08,141.96856689453125,142.19950631211924,140.6806110265148,141.23132001268974,1079700
2018-06-11,142.62586975097656,143.22987138505363,141.42673052260088,142.09291597090345,1289000
2018-06-12,143.30982971191406,144.71326220535948,142.51929008213057,142.9989512595962,1179000
2018-06-13,142.53704833984375,144.12700507700734,142.3061089162315,143.89606565339508,1048700
2018-06-14,143.49636840820312,144.42013972921734,143.158830063227,143.76284533562747,1169000
2018-06-15,142.3505096435547,143.07887894665615,141.25796924248093,143.07887894665615,2856700
2018-06-18,140.76055908203125,140.93820584187486,139.96114188594552,140.63620499478282,972900
2018-06-19,137.9536895751953,138.8952295690617,137.5095659136675,138.83305930430865,1141300
2018-06-20,137.69610595703125,138.30899878804613,136.98550537681723,138.13133847780855,1173600
2018-06-21,138.45108032226562,138.91297263990046,137.79378609896037,137.92701775136655,2217100
2018-06-22,140.46742248535156,141.21354693796337,139.19723539723228,139.2949431389013,1341000
2018-06-25,137.5006866455078,139.98778183049623,136.1771932709816,139.98778183049623,1434500
2018-06-26,136.9588623046875,137.96258615641747,136.3637382012305,137.68721809041878,1026100
2018-06-27,138.157958984375,139.68574520245608,137.7049578065488,137.9536659300898,1399300
2018-06-28,139.17056274414062,139.17945389029896,137.10095872571625,138.4599758374493,1349500
2018-06-29,140.47633361816406,141.91530375299396,139.58808613767343,139.74797773202383,1391000
2018-07-02,140.59182739257812,140.9648897537669,139.05516285762818,139.45487156221736,1291900
2018-07-03,139.61474609375,141.64884061245428,139.4992831264607,140.96488619077107,640000
2018-07-05,143.78948974609375,144.9353228990097,143.07001153919543,143.89607509420333,1547900
2018-07-06,145.7080841064453,147.004931154525,143.46971062327313,143.88718794709192,1642500
2018-07-09,146.3920440673828,147.70664635471317,146.3920440673828,146.63187464767532,1293700
2018-07-10,147.8665313720703,148.07971560661215,146.2321595679848,146.65851448349005,2150100
2018-07-11,145.7259063720703,146.1789213450089,144.44682759555764,144.94424410784958,1518200
2018-07-12,147.35134887695312,147.60005704480588,144.86425364484688,146.2676860512038,1913100
2018-07-13,148.15966796875,148.97685394446307,146.39205077613107,146.6940516371073,1501800
2018-07-16,148.3728485107422,149.70521968957047,148.10638511784094,149.25221836805784,1399500
2018-07-17,148.21299743652344,148.77259777057435,147.71558094118174,148.38176665178216,1854200
2018-07-18,146.58743286132812,148.38169598233173,145.8946011365639,147.65332677992103,1641300
2018-07-19,146.79177856445312,146.85396239584725,144.50898951253075,145.6281764953927,1553400
2018-07-20,147.0760040283203,147.7599583116029,144.91755582913274,144.9442021664677,1326500
2018-07-23,143.8072509765625,146.39205420544494,143.67401928582834,146.04563825595616,1745200
